feature,VIF
cmc,4.085501955396374
flavor_text,5.830769574104151
paper,0.0
arena,0.0
mtgo,21.210593882155074
Adamant,inf
Adapt,27.68661755065712
Addendum,inf
Afflict,4.023160898438927
Afterlife,inf
Aftermath,inf
Amass,inf
Ascend,inf
Boast,inf
Changeling,inf
Companion,inf
Constellation,inf
Convoke,inf
Coven,inf
Crew,inf
Cycling,7.544649224277042
Daybound,inf
Deathtouch,3.3725284679723755
Defender,6.193421472795465
Disturb,11.465041424067461
Double strike,3.84114877285433
Embalm,inf
Enchant,16.814938520191145
Enrage,inf
Equip,inf
Escape,inf
Eternalize,inf
Exert,inf
Explore,4.0625352763307285
Fabricate,inf
Fight,25.847329563863344
First strike,2.9327673048546052
Flash,32.907550257095245
Flashback,64.96947330627214
Flying,12.09305378471037
Foretell,8.912504168206318
Haste,5.8785563958198255
Hexproof,3.7311354729589623
Hexproof from,3.1879550352016306
Indestructible,5.141071140217958
Investigate,inf
Jump-start,inf
Kicker,26.161750337799393
Landfall,inf
Learn,inf
Lifelink,3.9697970662299036
Magecraft,inf
Menace,3.8381363879369492
Mentor,inf
Mill,inf
Mutate,10.210931525587739
Nightbound,inf
Pack tactics,inf
Proliferate,inf
Protection,10.498420885007702
Prowess,inf
Raid,inf
Reach,7.757769788035515
Riot,9.116614218445148
Scry,inf
Spectacle,inf
Surveil,4.355410444898789
Trample,4.355246023210856
Transform,inf
Undergrowth,inf
Vigilance,4.2886118050164885
Ward,6.401987359701883
abilities_count,10.73591290937168
mana_symbols_cost,2.966254971206849
X_spell,3.2647499226051715
mana_symbols_oracle,8.842611337092128
mana_symbols_oracle_nbr,10.361786228361057
tapping_ability,4.177761094535017
multiple_choice,5.661968804474139
everi_tkn,3.5274589590139023
class_tkn,4.596288515574318
contain_tkn,10.209874429301998
copi_tkn,38.02698169559002
enter_tkn,45.55080228009285
dwarf_tkn,3.2630106909106558
flashback_tkn,50.0159917741947
may_tkn,4.078242131555605
they'r_tkn,8.920110787679361
process_tkn,inf
win_tkn,12.330903233295228
demon_tkn,3.34569614810504
convok_tkn,inf
base_tkn,6.6576821907287655
dinosaur_tkn,1.8075006620650238
mutat_tkn,10.291089139924585
top_tkn,19.896666632582313
element_tkn,4.379189154576593
black_tkn,4.295352003483492
highest_tkn,1.843327524769728
fewer_tkn,2.350991419115377
that'_tkn,5.958582960904208
reveal_tkn,7.384090367784584
ventur_tkn,inf
take_tkn,inf
mana_tkn,20.046847552513235
planeswalk_tkn,2.274026802839223
counter_tkn,14.532916244110934
transform_tkn,inf
lost_tkn,2.1456697989895064
spend_tkn,4.750063721751401
even_tkn,4.77652355708367
cartouch_tkn,1.3828388127454143
fractal_tkn,2.5099819828339074
mill_tkn,inf
valu_tkn,13.533913412305832
among_tkn,6.833417822285039
creat_tkn,56.46070520799772
deck_tkn,17.592125026098188
extra_tkn,inf
combin_tkn,2.2368173245731784
control_tkn,3.306225330443237
protect_tkn,7.566691676989651
could_tkn,2.946882197989952
effect_tkn,6.675524401801026
share_tkn,3.040808286811298
e_tkn,2.3639226247042004
shuffl_tkn,20.840697349505582
noncreatur_tkn,1.8959569073137217
scri_tkn,inf
green_tkn,4.360065868264086
except_tkn,3.796126540663797
mentor_tkn,inf
aura_tkn,1.9564863493853393
upkeep_tkn,inf
constel_tkn,inf
spell'_tkn,2.6779498136532762
afflict_tkn,3.615638450608014
total_tkn,3.2330662475820127
start_tkn,10.016962928012024
four_tkn,2.594436193617983
ascend_tkn,inf
differ_tkn,3.3969002740581264
perman_tkn,3.7618894467400064
get_tkn,5.267101803771487
level_tkn,inf
one_tkn,3.7866147365371603
next_tkn,4.056618337630007
amount_tkn,2.0579053921221258
city'_tkn,inf
third_tkn,4.487868644466308
die_tkn,7.761617509108679
life_tkn,8.811561068033761
snow_tkn,4.032324571837729
zombi_tkn,2.817585664177431
oppon_tkn,3.131729959421637
day_tkn,inf
trigger_tkn,3.256432608902428
foretold_tkn,1.9926185442046158
untap_tkn,5.587705951394615
embalm_tkn,inf
add_tkn,12.15571641837795
remov_tkn,2.9951746019894485
three_tkn,2.6811926777848485
kraken_tkn,1.8471304376598112
berserk_tkn,3.280871614043307
activ_tkn,4.29019036377979
vraska_tkn,1.3953070919237613
still_tkn,11.170920076746372
graveyard_tkn,7.458898948357897
jump-start_tkn,inf
end_tkn,9.078602788718339
mani_tkn,2.774458164271687
spent_tkn,5.588039278324471
creatur_tkn,4.078793188598567
card'_tkn,4.849523907803203
dungeon_tkn,8.68017706106224
basic_tkn,4.735947185879032
daybound_tkn,inf
flip_tkn,inf
forest_tkn,2.806669297302668
spectacl_tkn,inf
prevent_tkn,9.563774957875491
etern_tkn,inf
thopter_tkn,2.216951322111422
spider_tkn,3.263993794767446
separ_tkn,inf
land_tkn,3.448310395982157
plain_tkn,2.312337338473137
adapt_tkn,30.553946606758696
exil_tkn,3.986887802600703
look_tkn,8.302182220069746
companion_tkn,inf
gate_tkn,1.7796185506311708
opponent'_tkn,2.171610005347278
addendum_tkn,inf
angel_tkn,2.6240605957253056
beast_tkn,2.8206057711560164
satyr_tkn,5.828688448148957
anywher_tkn,3.2231741753266165
illus_tkn,1.825002484640882
full_tkn,1.9398108236788971
instant_tkn,14.425604115232584
nonland_tkn,3.269237861459008
prowess_tkn,inf
bird_tkn,3.021403669408856
game_tkn,5.953297498332401
nissa_tkn,1.7994942890638854
hand_tkn,7.805571236784412
learn_tkn,inf
goblin_tkn,1.935739465289401
way_tkn,2.8957780689510715
wizard_tkn,1.9226905062272954
random_tkn,5.275763314751771
remain_tkn,2.9869354805607977
inkl_tkn,2.282653043381376
breath_tkn,1.4412605066833186
pirat_tkn,2.080915865106919
type_tkn,5.253509046526169
resolv_tkn,2.3240186393259763
librari_tkn,31.475875781900257
order_tkn,18.45769852031159
damag_tkn,72.15456219479704
dice_tkn,2.2381488154453146
ward_tkn,10.185390428192484
reduc_tkn,6.346778636208839
chandra_tkn,1.1316453293968476
long_tkn,2.8578412298355653
odd_tkn,5.1628552301283275
hast_tkn,7.16281919946385
gideon_tkn,1.365931754845055
magic_tkn,1.2642376739828105
strike_tkn,12.764288276039666
knight_tkn,1.859598856411557
pay_tkn,3.604195644429156
nonlegendari_tkn,1.763174060780491
exactli_tkn,2.354265917968497
explor_tkn,4.079312306995392
half_tkn,15.325378577386376
nontoken_tkn,2.3676942650608193
vehicl_tkn,3.9164609582560526
wall_tkn,2.2820598262946867
giant_tkn,2.077865452035342
caus_tkn,7.029488428385288
move_tkn,1.7385417194762736
flash_tkn,34.14355925541259
elv_tkn,1.82666180085963
devil_tkn,inf
attack_tkn,4.5754961679316635
disturb_tkn,5.816747416504091
indestruct_tkn,9.189782476722439
outsid_tkn,inf
noncombat_tkn,3.42338293045076
nightmar_tkn,10.003040252237085
creature'_tkn,2.466901019958872
pile_tkn,inf
spirit_tkn,2.450786839785162
play_tkn,3.5032599145381274
fli_tkn,9.90854978371703
paid_tkn,2.713630166104248
adam_tkn,inf
kick_tkn,7.480629908469549
excess_tkn,1.611305088231277
sourc_tkn,5.478471691406322
riot_tkn,9.1430624425147
rather_tkn,9.478148907645718
leav_tkn,2.2499043755665937
rogu_tkn,2.7286559678749733
owner_tkn,1.9827325474838449
assign_tkn,4.346070020114389
