feature,VIF
cmc,5.925227041952782
flavor_text,7.929052461604159
DFC,9.554380091466555
paper,0.0
mtgo,0.0
arena,29.583512030909237
Adamant,inf
Adapt,47.87840214574162
Addendum,inf
Afflict,8.56872947001404
Afterlife,inf
Aftermath,inf
Amass,inf
Ascend,inf
Boast,10.714875177303279
Changeling,inf
Cleave,
Companion,inf
Constellation,inf
Convoke,inf
Coven,inf
Crew,inf
Cycling,16.724051194892866
Daybound,inf
Deathtouch,4.581710788540797
Defender,9.960164305385172
Disturb,inf
Double strike,5.3403620395590226
Embalm,inf
Enchant,43.42003070916531
Enrage,inf
Equip,inf
Escape,6.981061560323608
Eternalize,inf
Exert,inf
Exploit,
Explore,15.300594356443431
Fabricate,inf
Fight,inf
First strike,3.9484330037963757
Flash,inf
Flashback,inf
Flying,17.293054798573
Foretell,34.28668141626021
Haste,6.963289459300136
Hexproof,4.2836085387362575
Hexproof from,4.648702499094822
Indestructible,9.93124398573726
Investigate,inf
Jump-start,inf
Kicker,inf
Landfall,inf
Learn,inf
Lifelink,6.5034356774327
Magecraft,inf
Menace,5.466467949329387
Mentor,inf
Mill,inf
Mutate,inf
Nightbound,inf
Pack tactics,inf
Proliferate,inf
Protection,8.82860142004228
Prowess,inf
Raid,inf
Reach,11.602292540955732
Riot,83.66852397382178
Scry,13.97602267743875
Spectacle,inf
Surveil,4.982203951960266
Training,
Trample,6.073505118232055
Transform,inf
Undergrowth,inf
Vigilance,5.545128186346256
Ward,6.235182077116419
abilities_count,14.571280128289377
mana_symbols_cost,4.392184940817591
X_spell,4.953088348165492
mana_symbols_oracle,13.019367925354636
mana_symbols_oracle_nbr,16.61590762632409
tapping_ability,5.648494701923561
multiple_choice,7.040709192726178
except_tkn,7.174670219225266
minotaur_tkn,2.235489495301595
look_tkn,13.337685493305901
search_tkn,28.4377159382521
would_tkn,13.126616185441021
control_tkn,4.520990526981545
dealt_tkn,25.387740815675723
singl_tkn,7.5866022789751835
nightmar_tkn,12.511185487126607
berserk_tkn,inf
angel_tkn,3.298197664553739
mentor_tkn,inf
also_tkn,2.297460445401926
distribut_tkn,
disturb_tkn,inf
mutat_tkn,inf
get_tkn,8.237703499385201
merfolk_tkn,2.356941874423033
three_tkn,3.972568618719015
food_tkn,3.404194331989514
spent_tkn,4.980304531636491
without_tkn,16.479603055406848
attack_tkn,7.293508363742916
non-human_tkn,1.7440725539787378
enchant_tkn,6.2916599525726795
hand_tkn,10.441281496564496
sorceri_tkn,24.569025500613527
dragon_tkn,5.552698486685381
controller'_tkn,3.865965728340004
boast_tkn,8.513233884349004
spectacl_tkn,inf
convok_tkn,inf
permanent'_tkn,1.5969962086627036
mana_tkn,30.083404089917273
opponent'_tkn,2.715720347926804
excess_tkn,3.776166750195636
investig_tkn,inf
addendum_tkn,inf
draw_tkn,19.925955024344397
breath_tkn,2.4715350170190904
six_tkn,3.263533052685123
maximum_tkn,inf
spirit_tkn,2.9510639981407354
construct_tkn,12.53741712706083
inkl_tkn,2.665058202996639
owner'_tkn,9.65822968993056
artifact_tkn,3.408686023672557
block_tkn,7.0380981606334
prevent_tkn,9.608020603496115
take_tkn,inf
werewolf_tkn,inf
satyr_tkn,3.2536912820482056
chang_tkn,4.312047055334375
paid_tkn,3.8796523491217116
parti_tkn,2.445053016431867
full_tkn,3.242992257731008
trigger_tkn,5.6644361227467375
greater_tkn,3.985065603549029
bird_tkn,1.7359892136211652
tap_tkn,3.008109195213818
damag_tkn,370.2871393111382
vehicl_tkn,inf
devot_tkn,3.884839839182048
upkeep_tkn,inf
cast_tkn,26.573180468302688
twice_tkn,6.442776275006088
sourc_tkn,9.130612686821392
